section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Foundations of Digital Storytelling,Lecture,Digital Media - CPS,6122,02,4,80099,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"3 of 16 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Professional Programs GR 1,Snell Library Lab Access,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Digital Storytelling,Lecture,Digital Media - CPS,6122,04,4,81075,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,11 of 16 seats remain.,11,,CPS-Professional Programs GR 1,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Digital Storytelling,Lecture,Digital Media - CPS,6122,05,4,81193,Thursday,S,M,T,W,F,S,T,02:00 PM - 03:50 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","12 of 16 seats remain.
6 of 6 waitlist seats remain.",12,6,CPS-Professional Programs GR 1,Snell Library Lab Access,02,00,03,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sound Design,Lecture,Digital Media - CPS,6140,01,4,80047,Wednesday,S,M,T,T,F,S,W,07:50 PM - 09:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 202,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,5,CPS-Professional Programs GR 1,Snell Library Lab Access,07,50,09,40,FULL: 0 of 16 seats remain.,5 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology and Creative Practice,Lecture,Digital Media - CPS,6145,01,4,80339,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 243,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"2 of 20 seats remain.
6 of 6 waitlist seats remain.",2,6,CPS-Professional Programs GR 1,Snell Library Lab Access,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology and Creative Practice,Lecture,Digital Media - CPS,6145,02,4,80438,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"8 of 20 seats remain.
6 of 6 waitlist seats remain.",8,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology and Creative Practice,Lecture,Digital Media - CPS,6145,03,4,81253,Tuesday,S,M,W,T,F,S,T,06:00 PM - 07:50 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1425,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","11 of 16 seats remain.
6 of 6 waitlist seats remain.",11,6,CPS-Professional Programs GR 1,Snell Library Lab Access,06,00,07,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usability and Human Interaction,Lecture,Digital Media - CPS,6168,01,4,80149,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 238,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"3 of 20 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Professional Programs GR 1,XN Experiential Project,05,50,07,40,,,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management for Digital Media,Lecture,Digital Media - CPS,6279,02,4,80575,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Cullinane Building,Building:,Room: 105,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,4,CPS-Professional Programs GR 1,,05,50,07,40,FULL: 0 of 19 seats remain.,4 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing for Digital Media,Lecture,Digital Media - CPS,6280,02,4,80686,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 215,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"9 of 20 seats remain.
6 of 6 waitlist seats remain.",9,6,CPS-Professional Programs GR 1,Snell Library Lab Access,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Marketing Fundamentals,Lecture,Digital Media - CPS,6285,01,4,80439,Monday,S,T,W,T,F,S,M,01:00 PM - 02:50 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,5,CPS-Professional Programs GR 1,,01,00,02,50,FULL: 0 of 16 seats remain.,5 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Media and Brand Strategy Implementation,Lecture,Digital Media - CPS,6290,01,4,80269,Tuesday,S,M,W,T,F,S,T,11:45 AM - 01:25 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 243,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,4,CPS-Professional Programs GR 1,,11,45,01,25,FULL: 0 of 20 seats remain.,4 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Media and Brand Strategy Implementation,Lecture,Digital Media - CPS,6290,02,4,80820,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 124,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"3 of 20 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Professional Programs GR 1,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Design Fundamentals,Lecture,Digital Media - CPS,6400,01,4,81333,Tuesday,S,M,W,T,F,S,T,03:00 PM - 04:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1523,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","11 of 16 seats remain.
6 of 6 waitlist seats remain.",11,6,CPS-Professional Programs GR 1,Snell Library Lab Access,03,00,04,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Engine Fundamentals,Lecture,Digital Media - CPS,6403,01,4,80342,Wednesday,S,M,T,T,F,S,W,03:30 PM - 05:20 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"8 of 16 seats remain.
6 of 6 waitlist seats remain.",8,6,Low Enrollment,CPS-Professional Programs GR 1,03,30,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Video Production,Lecture,Digital Media - CPS,6435,01,4,80006,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 109,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"3 of 16 seats remain.
5 of 5 waitlist seats remain.",3,5,CPS-Professional Programs GR 1,Snell Library Lab Access,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animation Basics,Lecture,Digital Media - CPS,6450,01,4,81422,Tuesday,S,M,W,T,F,S,T,05:00 PM - 06:50 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1523,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","14 of 16 seats remain.
6 of 6 waitlist seats remain.",14,6,CPS-Professional Programs GR 1,Snell Library Lab Access,05,00,06,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Development,Lecture,Digital Media - CPS,6451,01,4,80264,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"12 of 16 seats remain.
6 of 6 waitlist seats remain.",12,6,Low Enrollment,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Information Design 1,Lecture,Digital Media - CPS,6461,01,4,80169,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 275,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"9 of 16 seats remain.
5 of 5 waitlist seats remain.",9,5,CPS-Professional Programs GR 1,Snell Library Lab Access,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Information Design 1,Lecture,Digital Media - CPS,6461,02,4,80678,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 269,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"2 of 16 seats remain.
6 of 6 waitlist seats remain.",2,6,CPS-Professional Programs GR 1,Snell Library Lab Access,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing Infographics,Lecture,Digital Media - CPS,6471,01,4,80150,Tuesday,S,M,W,T,F,S,T,01:00 PM - 02:50 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 111,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"7 of 16 seats remain.
6 of 6 waitlist seats remain.",7,6,CPS-Professional Programs GR 1,Snell Library Lab Access,01,00,02,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Creation Boot Camp,Lecture,Digital Media - CPS,6501,01,2,80341,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"5 of 15 seats remain.
6 of 6 waitlist seats remain.",5,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Modeling,Lecture,Digital Media - CPS,6510,01,4,80032,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"11 of 16 seats remain.
6 of 6 waitlist seats remain.",11,6,Low Enrollment,CPS-Professional Programs GR 1,05,50,07,40,,,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to After Effects,Lecture,Digital Media - CPS,6515,01,2,80343,Thursday,S,M,T,W,F,S,T,07:50 PM - 08:45 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"1 of 16 seats remain.
6 of 6 waitlist seats remain.",1,6,CPS-Professional Programs GR 1,,07,50,08,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual and Augmented Reality (VR/AR),Lecture,Digital Media - CPS,6516,01,2,80568,Wednesday,S,M,T,T,F,S,W,07:50 PM - 09:40 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"9 of 16 seats remain.
6 of 6 waitlist seats remain.",9,6,CPS-Professional Programs GR 1,,07,50,09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Creation for Content Management Systems,Lecture,Digital Media - CPS,6521,01,2,80265,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"1 of 18 seats remain.
6 of 6 waitlist seats remain.",1,6,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Methods for Global User Experiences,Lecture,Digital Media - CPS,6525,02,4,80346,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 001,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"7 of 20 seats remain.
6 of 6 waitlist seats remain.",7,6,CPS-Professional Programs GR 1,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Engine Optimization: Strategy and Implementation,Lecture,Digital Media - CPS,6550,01,4,80347,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"12 of 20 seats remain.
6 of 6 waitlist seats remain.",12,6,CPS-Professional Programs GR 1,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis Proposal Development,Lecture,Digital Media - CPS,6890,01,2,80744,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,,FULL,,CPS-Professional Programs GR 1,,,,,,FULL: 0 of 12 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,02,0,80522,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,,"Charlotte, NC program eligible",CPS-EdD Program,,,,,FULL: 0 of 1 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,03,0,80523,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,3 of 5 seats remain.,3,,"Charlotte, NC program eligible",CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,05,0,80525,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,3 of 3 seats remain.,3,,"Charlotte, NC program eligible",CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,06,0,80526,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,,"Charlotte, NC program eligible",CPS-EdD Program,,,,,FULL: 0 of 1 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,07,0,80527,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,2 of 3 seats remain.,2,,"Charlotte, NC program eligible",CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,09,0,81050,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,4 of 5 seats remain.,4,,CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,10,0,81051,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,,CPS-EdD Program,,,,,,FULL: 0 of 3 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,11,0,81052,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,,CPS-EdD Program,,,,,,FULL: 0 of 5 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,12,0,81053,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,,CPS-EdD Program,,,,,,FULL: 0 of 2 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,14,0,81351,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,7 of 8 seats remain.,7,,CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,15,0,81352,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,1 of 3 seats remain.,1,,CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,16,0,81353,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,,CPS-EdD Program,,,,,,FULL: 0 of 1 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,17,0,81354,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,4 of 4 seats remain.,4,,CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Chair,Lecture,Education - CPS,0265,18,0,81355,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,2 of 2 seats remain.,2,,CPS-EdD Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Research in Experiential Teaching and Learning,Lecture,Education - CPS,6003,01,4,80598,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,28 of 30 seats remain.,28,,"Charlotte, NC program eligible",CPS-MEd Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education as an Advanced Field of Study,Lecture,Education - CPS,6050,01,5,80166,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,27 of 30 seats remain.,27,,"Charlotte, NC program eligible",CPS-MEd Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Social Justice in Educational Settings,Lecture,Education - CPS,6051,01,4,80007,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,22 of 30 seats remain.,22,,"Charlotte, NC program eligible",CPS-MEd Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
