section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Doctoral Internship,Off-campus instruction,Counseling and Applied Ed Psyc,7798,01,0.5 TO 2,61463,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,3,GSBV Bouve,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Counseling and Applied Ed Psyc,7976,01,1 TO 4,60991,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GSBV Bouve,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Counseling Practicum,Off-campus instruction w/ lec,Counseling and Applied Ed Psyc,8553,01,1 OR 2,61464,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,10,GSBV Bouve,Full-time status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Counseling and Applied Ed Psyc,8986,01,0,60684,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,15,GSBV Bouve,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Criminal Justice,Lecture,Criminal Justice,1100,01,4,61381,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 435,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,26,NU Core Social Science Lvl 1,NUpath Societies/Institutions,01,30,05,00,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychology of Crime,Lecture,Criminal Justice,3040,02,4,61473,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,UG Col Socl Sci & Humanities,,,,,,,0 of 5 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychology of Crime,Lecture,Criminal Justice,3040,03,4,61926,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,1,UG Col Socl Sci & Humanities,,,,,,,,0,,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,
Criminal Justice Research Methods,Lecture,Criminal Justice,3600,01,4,61719,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Writing Intsv in Majr,,,,,NUpath Writing Intensive,,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internship,Individual Instruction,Criminal Justice,4994,03,4,60919,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,7,No Course Evaluation,NUpath Integration Experience,,,,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Criminology,Lecture,Criminal Justice,5201,01,4,61720,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,GS Col Socl Sci & Humanities,NUpath Interpreting Culture,,,,,,0 of 5 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Criminal Justice,6964,01,0,61130,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,20,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Criminal Justice,6964,03,0,60651,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,20,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Criminal Justice,7976,01,1 TO 4,61137,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS Col Socl Sci & Humanities,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin American Film,Lecture,Culture,1240,01,4,60936,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NU Core Comp Stdy of Cultures,NU Core Humanities Lvl 1,,,,,NUpath Interpreting Culture,1 of 15 waitlist seats remain.,1,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Cybersecurity,Lecture,Cybersecurity,2550,01,4,61937,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 85 seats remain.,FULL,Computer&Info Sci,,,,,,,48 of 50 waitlist seats remain.,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Software Security,Lecture,Cybersecurity,5003,01,4,61721,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,49,GSCS Information Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming with Data,Lecture,Data Science,2000,01,2,61848,"Monday,Wednesday",S,T,T,M,W,F,S,11:40 AM - 01:20 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 80 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Science/Tech Lvl 1,11,40,01,20,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science Programming Practicum,Lab,Data Science,2001,01,2,61849,"Tuesday,Thursday",S,M,W,T,T,F,S,11:40 AM - 01:20 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 80 seats remain.,FULL,Computer&Info Sci,,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Data Science,Lecture,Data Science,3000,01,4,61208,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: West Village G,Building:,Room: 104,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,4,NUpath Analyzing/Using Data,NUpath Natural/Designed World,09,50,11,30,Computer&Info Sci,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Presentation and Visualization,Lecture,Data Science,4200,01,4,61800,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 65 seats remain.,FULL,NUpath Analyzing/Using Data,NUpath Writing Intensive,,,,,Computer&Info Sci,1 of 30 waitlist seats remain.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Justice and Community Development,Lecture,Earth & Environmental Sciences,2401,01,4,61413,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 105,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 5 seats remain.,FULL,NUpath Integration Experience,UG College of Science,01,30,05,00,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth and Environmental Science Capstone,Individual Instruction,Earth & Environmental Sciences,4900,01,1,60777,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,16,No Course Evaluation,NU Core Capstone,,,,,NUpath Capstone Experience,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Thesis,Individual Instruction,Earth & Environmental Sciences,4997,01,4,61935,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,17,No Course Evaluation,NU Core Capstone,,,,,NUpath Capstone Experience,,,NU Core Experiential Learning,NU Core Writing Intsv in Majr,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Earth & Environmental Sciences,5984,02,1 TO 4,61958,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,"Ecology, Evolutn & Marine Biol",8986,01,0,60988,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,19,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics,1115,01,4,60029,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,0 of 5 waitlist seats remain.,0,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics,1115,04,4,60578,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,,,NU Accelerate Program Course,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics,1115,07,4,61790,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 237,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,26,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,01,30,03,10,NUpath Societies/Institutions,,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics,1115,3,4,61791,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 235,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,29,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,09,50,11,30,NUpath Societies/Institutions,,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Microeconomics,Lecture,Economics,1116,03,4,60402,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,0 of 5 waitlist seats remain.,0,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Microeconomics,Lecture,Economics,1116,04,4,60703,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,,,NU Accelerate Program Course,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Microeconomics,Lecture,Economics,1116,05,4,61500,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 275,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,18,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,11,40,01,20,NUpath Societies/Institutions,,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Microeconomics,Lecture,Economics,1116,06,4,61792,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 129,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,34,NUpath Analyzing/Using Data,NU Core Social Science Lvl 1,03,20,05,00,NUpath Societies/Institutions,,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics of Crime,Lecture,Economics,1240,01,4,61189,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NU Core Social Science Lvl 1,NUpath Societies/Institutions,,,,,UG Col Socl Sci & Humanities,0 of 5 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroeconomic Theory,Lecture,Economics,2315,01,4,60204,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 237,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,17,NUpath Analyzing/Using Data,NU Core Math/Anly Think Lvl 2,09,50,11,30,NUpath Societies/Institutions,,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microeconomic Theory,Lecture,Economics,2316,01,4,60181,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 235,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,14,NU Core Math/Anly Think Lvl 2,NUpath Natural/Designed World,11,40,01,20,UG Col Socl Sci & Humanities,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics for Economists,Lecture,Economics,2350,01,4,60389,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Analyzing/Using Data,NUpath Formal/Quant Reasoning,,,,,NU Core Math/Anly Think Lvl 2,5 of 5 waitlist seats remain.,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics for Economists,Lecture,Economics,2350,02,4,61190,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Analyzing/Using Data,NUpath Formal/Quant Reasoning,,,,,NU Core Math/Anly Think Lvl 2,5 of 5 waitlist seats remain.,5,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Econometrics,Lecture,Economics,2560,01,4,60321,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Writing Intsv in Majr,,,,,NUpath Writing Intensive,0 of 5 waitlist seats remain.,0,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics of Sports,Lecture,Economics,3481,01,4,60906,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 235,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,13,UG Col Socl Sci & Humanities,,01,30,03,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Economics Thesis,Seminar,Economics,4997,01,4,61303,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 220,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,16,NUpath Capstone Experience,NUpath Writing Intensive,11,40,01,20,UG Col Socl Sci & Humanities,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Economics,6964,01,0,60785,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,15,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Economics,6964,02,0,60789,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,10,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Economics,6964,03,0,60850,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Economics,6964,04,0,61047,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,10,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Economics,6965,01,0,60819,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Digital Design and Computer Architecture,Lecture,Electrical and Comp Engineerng,2310,01,4,61948,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 102,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,Engineering,,01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for EECE 2310,Lab,Electrical and Comp Engineerng,2311,01,1,61949,"Tuesday,Thursday",S,M,W,T,T,F,S,09:30 AM - 11:30 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 009D,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,Engineering,,09,30,11,30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Digital Design and Computer Organization,Lecture,Electrical and Comp Engineerng,2322,01,4,60539,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 102,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,24,Engineering,,11,40,01,20,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for EECE 2322,Lab,Electrical and Comp Engineerng,2323,01,1,60540,"Monday,Wednesday",S,T,T,M,W,F,S,09:30 AM - 11:30 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 009D,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,23,Engineering,,09,30,11,30,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Electronics,Lecture,Electrical and Comp Engineerng,2412,01,4,60938,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 039,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,15,Engineering,,01,30,03,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for EECE 2412,Lab,Electrical and Comp Engineerng,2413,01,1,60939,"Monday,Wednesday",S,T,T,M,W,F,S,03:20 PM - 05:20 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 009A,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,15,NU Core Writing Intsv in Majr,NUpath Writing Intensive,03,20,05,20,Engineering,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Architecture and Organization,Lecture,Electrical and Comp Engineerng,3324,01,4,61740,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 102,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,37,Engineering,,09,50,11,30,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of Random Phenomena in Electrical and Computer Engineering,Lecture,Electrical and Comp Engineerng,3468,01,4,61931,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,05:30 PM - 07:10 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 039,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,18,Engineering,,05,30,07,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotics,Lecture,Electrical and Comp Engineerng,4630,01,4,60920,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 009A,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,19,Engineering,,03,20,05,00,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
